Email_address,First_name,Last_name,Course.id,grades,Marks
student1@mycsu.edu,FirstName1,LastName1,DATA236,A,90
student1@mycsu.edu,FirstName1,LastName1,DATA228,B,82
student1@mycsu.edu,FirstName1,LastName1,DATA266,A,92
student1@mycsu.edu,FirstName1,LastName1,DATA350,C,76
student2@mycsu.edu,FirstName2,LastName2,DATA280,C,70
student2@mycsu.edu,FirstName2,LastName2,DATA330,F,19
student2@mycsu.edu,FirstName2,LastName2,DATA310,A,92
student2@mycsu.edu,FirstName2,LastName2,DATA226,C,70
student3@mycsu.edu,FirstName3,LastName3,DATA350,B,89
student3@mycsu.edu,FirstName3,LastName3,DATA275,B,85
student3@mycsu.edu,FirstName3,LastName3,DATA270,A,92
student3@mycsu.edu,FirstName3,LastName3,DATA220,C,77
student4@mycsu.edu,FirstName4,LastName4,DATA350,A,91
student4@mycsu.edu,FirstName4,LastName4,DATA228,D,66
student4@mycsu.edu,FirstName4,LastName4,DATA220,C,79
student4@mycsu.edu,FirstName4,LastName4,DATA230,C,74
student5@mycsu.edu,FirstName5,LastName5,DATA280,B,86
student5@mycsu.edu,FirstName5,LastName5,DATA228,A,90
student5@mycsu.edu,FirstName5,LastName5,DATA220,A,96
student5@mycsu.edu,FirstName5,LastName5,DATA245,D,62
student6@mycsu.edu,FirstName6,LastName6,DATA236,D,69
student6@mycsu.edu,FirstName6,LastName6,DATA220,D,64
student6@mycsu.edu,FirstName6,LastName6,DATA266,A,92
student6@mycsu.edu,FirstName6,LastName6,DATA270,C,71
student7@mycsu.edu,FirstName7,LastName7,DATA290,A,96
student7@mycsu.edu,FirstName7,LastName7,DATA360,D,60
student7@mycsu.edu,FirstName7,LastName7,DATA245,C,73
student7@mycsu.edu,FirstName7,LastName7,DATA255,D,69
student8@mycsu.edu,FirstName8,LastName8,DATA245,A,93
student8@mycsu.edu,FirstName8,LastName8,DATA275,B,87
student8@mycsu.edu,FirstName8,LastName8,DATA360,B,85
student8@mycsu.edu,FirstName8,LastName8,DATA226,A,94
student9@mycsu.edu,FirstName9,LastName9,DATA340,B,81
student9@mycsu.edu,FirstName9,LastName9,DATA226,C,75
student9@mycsu.edu,FirstName9,LastName9,DATA350,D,66
student9@mycsu.edu,FirstName9,LastName9,DATA320,C,70
student10@mycsu.edu,FirstName10,LastName10,DATA310,F,54
student10@mycsu.edu,FirstName10,LastName10,DATA330,D,63
student10@mycsu.edu,FirstName10,LastName10,DATA350,F,21
student10@mycsu.edu,FirstName10,LastName10,DATA236,F,36
student11@mycsu.edu,FirstName11,LastName11,DATA290,B,85
student11@mycsu.edu,FirstName11,LastName11,DATA245,A,99
